Soil,Soil_Type,Treatment,Experimental_Run,Replicate,Healthy,Damaged
C10,Conducive,Insect,1,1,14.63836434,85.36163566
C10,Conducive,Insect,1,2,93.41985059,6.580149408
C10,Conducive,Insect,1,3,53.38163479,46.61836521
C10,Conducive,Insect,1,4,93.26320342,6.73679658
C10,Conducive,Insect,1,5,77.90763123,22.09236877
C10,Conducive,Insect,1,6,96.57250704,3.427492958
C10,Conducive,Insect,1,7,90.98908372,9.010916277
C10,Conducive,Insect,1,8,95.78753113,4.212468874
C112,Conducive,Insect,1,1,91.9725896,8.027410401
C112,Conducive,Insect,1,10,94.00812659,5.991873406
C112,Conducive,Insect,1,2,39.03765817,60.96234183
C112,Conducive,Insect,1,3,84.77777605,15.22222395
C112,Conducive,Insect,1,4,34.38583893,65.61416107
C112,Conducive,Insect,1,5,53.60831242,46.39168758
C112,Conducive,Insect,1,6,95.51621083,4.483789174
C112,Conducive,Insect,1,7,44.91927365,55.08072635
C112,Conducive,Insect,1,8,68.60728153,31.39271847
C112,Conducive,Insect,1,9,93.74396386,6.256036144
S16,Suppressive,Insect,1,1,86.93220777,13.06779223
S16,Suppressive,Insect,1,2,88.77805031,11.22194969
S16,Suppressive,Insect,1,5,96.63546629,3.364533705
S16,Suppressive,Insect,1,6,87.93931577,12.06068423
S16,Suppressive,Insect,1,7,72.46880256,27.53119744
S16,Suppressive,Insect,1,8,88.44725745,11.55274255
S7,Suppressive,Insect,1,1,73.07406109,26.92593891
S7,Suppressive,Insect,1,2,92.53103315,7.468966852
S7,Suppressive,Insect,1,3,69.0296052,30.9703948
S7,Suppressive,Insect,1,4,77.22551188,22.77448812
S7,Suppressive,Insect,1,5,73.65691467,26.34308533
S7,Suppressive,Insect,1,6,86.79141037,13.20858963
S7,Suppressive,Insect,1,7,70.08277031,29.91722969
S7,Suppressive,Insect,1,8,94.09678002,5.903219979
C10,Conducive,Control,1,1,91.87355945,8.126440546
C10,Conducive,Control,1,10,95.59999013,4.400009865
C10,Conducive,Control,1,2,93.56721504,6.432784958
C10,Conducive,Control,1,3,93.55734014,6.442659856
C10,Conducive,Control,1,4,92.59170971,7.408290291
C10,Conducive,Control,1,5,95.49992275,4.500077248
C10,Conducive,Control,1,6,94.43253885,5.567461152
C10,Conducive,Control,1,7,94.29181129,5.708188713
C10,Conducive,Control,1,8,95.64031277,4.359687234
C10,Conducive,Control,1,9,94.1694376,5.830562403
C112,Conducive,Control,1,1,92.82260181,7.177398191
C112,Conducive,Control,1,10,96.82055939,3.179440613
C112,Conducive,Control,1,2,96.81603146,3.183968544
C112,Conducive,Control,1,3,96.93369739,3.066302608
C112,Conducive,Control,1,4,96.42355732,3.576442679
C112,Conducive,Control,1,5,96.11222202,3.887777984
C112,Conducive,Control,1,6,97.02407637,2.975923633
C112,Conducive,Control,1,7,95.8932724,4.106727604
C112,Conducive,Control,1,8,96.22867015,3.771329851
C112,Conducive,Control,1,9,93.30190307,6.698096931
S16,Suppressive,Control,1,1,96.41767196,3.582328043
S16,Suppressive,Control,1,10,96.70583303,3.29416697
S16,Suppressive,Control,1,2,96.61197387,3.388026133
S16,Suppressive,Control,1,3,96.40021694,3.599783062
S16,Suppressive,Control,1,4,95.37660728,4.623392725
S16,Suppressive,Control,1,5,94.60538774,5.394612262
S16,Suppressive,Control,1,6,95.53435412,4.46564588
S16,Suppressive,Control,1,7,96.00560182,3.994398183
S16,Suppressive,Control,1,8,95.02436041,4.97563959
S16,Suppressive,Control,1,9,95.13039194,4.869608056
S7,Suppressive,Control,1,1,94.44814181,5.551858194
S7,Suppressive,Control,1,10,94.35823649,5.641763514
S7,Suppressive,Control,1,2,94.82270991,5.177290086
S7,Suppressive,Control,1,3,95.30163192,4.698368079
S7,Suppressive,Control,1,4,96.03143036,3.968569636
S7,Suppressive,Control,1,5,92.20992368,7.79007632
S7,Suppressive,Control,1,6,95.49192195,4.508078045
S7,Suppressive,Control,1,7,95.28982211,4.710177889
S7,Suppressive,Control,1,8,96.25057372,3.749426284
S7,Suppressive,Control,1,9,94.69006304,5.309936958
C10,Conducive,Insect,2,1,44.86100666,55.13899334
C10,Conducive,Insect,2,2,25.97661521,74.02338479
C10,Conducive,Insect,2,3,61.65550233,38.34449767
C10,Conducive,Insect,2,4,30.63805157,69.36194843
C10,Conducive,Insect,2,5,49.35302509,50.64697491
C10,Conducive,Insect,2,6,47.53039836,52.46960164
C10,Conducive,Insect,2,7,18.24045747,81.75954253
C10,Conducive,Insect,2,8,45.51225501,54.48774499
C10,Conducive,Insect,2,9,42.82212658,57.17787342
C112,Conducive,Insect,2,1,67.87236881,32.12763119
C112,Conducive,Insect,2,2,40.49768382,59.50231618
C112,Conducive,Insect,2,3,67.7271963,32.2728037
C112,Conducive,Insect,2,4,65.86154726,34.13845274
C112,Conducive,Insect,2,5,77.99854414,22.00145586
C112,Conducive,Insect,2,6,86.85620901,13.14379099
C112,Conducive,Insect,2,7,81.08605344,18.91394656
C112,Conducive,Insect,2,8,75.00295466,24.99704534
C112,Conducive,Insect,2,9,82.98511674,17.01488326
S16,Suppressive,Insect,2,1,66.48452401,33.51547599
S16,Suppressive,Insect,2,2,75.69588438,24.30411562
S16,Suppressive,Insect,2,3,52.13018228,47.86981772
S16,Suppressive,Insect,2,4,63.79978684,36.20021316
S16,Suppressive,Insect,2,5,72.70940826,27.29059174
S16,Suppressive,Insect,2,6,75.34600725,24.65399275
S16,Suppressive,Insect,2,7,49.86578107,50.13421893
S16,Suppressive,Insect,2,8,81.96399377,18.03600623
S7,Suppressive,Insect,2,1,64.76276303,35.23723697
S7,Suppressive,Insect,2,10,88.75633119,11.24366881
S7,Suppressive,Insect,2,2,26.7234623,73.2765377
S7,Suppressive,Insect,2,3,38.69406994,61.30593006
S7,Suppressive,Insect,2,4,93.54221961,6.457780391
S7,Suppressive,Insect,2,5,65.11993546,34.88006454
S7,Suppressive,Insect,2,6,46.23465154,53.76534846
S7,Suppressive,Insect,2,7,89.6089853,10.3910147
S7,Suppressive,Insect,2,8,81.7626636,18.2373364
S7,Suppressive,Insect,2,9,89.28370581,10.71629419
C10,Conducive,Control,2,1,60.4138345,39.5861655
C10,Conducive,Control,2,2,91.55693669,8.44306331
C10,Conducive,Control,2,3,96.222447,3.777552998
C10,Conducive,Control,2,4,94.62731807,5.372681927
C10,Conducive,Control,2,5,96.16825833,3.831741667
C112,Conducive,Control,2,1,95.93220393,4.067796073
C112,Conducive,Control,2,10,96.22298556,3.777014438
C112,Conducive,Control,2,2,96.55233758,3.447662418
C112,Conducive,Control,2,3,90.7460114,9.253988597
C112,Conducive,Control,2,4,97.54517034,2.454829662
C112,Conducive,Control,2,5,98.39434642,1.605653584
C112,Conducive,Control,2,6,96.15862983,3.841370174
C112,Conducive,Control,2,7,96.99770154,3.002298461
C112,Conducive,Control,2,8,96.86545272,3.134547284
C112,Conducive,Control,2,9,91.8586281,8.141371902
S16,Suppressive,Control,2,1,96.82674853,3.173251472
S16,Suppressive,Control,2,10,97.12559782,2.874402175
S16,Suppressive,Control,2,2,89.04805641,10.95194359
S16,Suppressive,Control,2,3,86.48220364,13.51779636
S16,Suppressive,Control,2,4,95.79904688,4.200953121
S16,Suppressive,Control,2,5,95.60881544,4.391184564
S16,Suppressive,Control,2,6,85.29540077,14.70459923
S16,Suppressive,Control,2,7,75.38757918,24.61242082
S16,Suppressive,Control,2,8,84.01390253,15.98609747
S16,Suppressive,Control,2,9,96.97532026,3.024679742
S7,Suppressive,Control,2,1,97.7370936,2.262906396
S7,Suppressive,Control,2,2,87.18247707,12.81752293
S7,Suppressive,Control,2,3,95.24924549,4.750754514
S7,Suppressive,Control,2,4,95.46441918,4.535580824
S7,Suppressive,Control,2,5,97.60336737,2.39663263
S7,Suppressive,Control,2,6,96.16242798,3.837572021
S7,Suppressive,Control,2,7,96.6122575,3.387742501
S7,Suppressive,Control,2,8,96.90642725,3.093572753
S7,Suppressive,Control,2,9,97.64986851,2.350131493
